PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-11-04,12:00:10.96,1,1,"Turnquist, Carson",702493,Right,CAL_MUS,"Becerra, Temo",1000131899,Right,STA_CAR,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.96815,-2.517222,-2.936186,2207.456224,194.637973,12:30,5.95811,1.34833,6.81202,-10.98827,19.85454,4.91036,2.74108,-0.92395,85.25969,-4.69817,-2.041389,0.399713,,,,,,,,,,,,-3.45933,11.54705,-1.16015,50,5.79043,6.79288,-136.31459,-6.19896,-6.4588,32.12544,-10.61511,CAL_MUS,STA_CAR,BaggettStadium,TeamExclusive,Team,20231104-BaggettStadium-Private-1,5e07b4e0-7b44-11ee-9162-df0992db74c2,94.29877,,,8.70846,,,,,,,a42b93df-7b2b-4ae3-87cd-33f590378cf0,2023-11-04,19:00:10.96,2023-11-04T12:00:10.9617104-07:00,2023-11-04T19:00:10.9617104Z,,v3,471251,471454,,"Stafford, Ryan",701696,Right,CAL_MUS,25755c0c-bc4f-4286-8e2c-0b28dcde85ba,53.68584,-137.18048,16.06272,5.95366,-5.91285,-5.30755,-1.34559,6.96697,-3.2294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-11-04,12:00:25.50,1,2,"Turnquist, Carson",702493,Right,CAL_MUS,"Becerra, Temo",1000131899,Right,STA_CAR,Undefined,1,Top,0,0,1,FourSeamFastBall,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,93.52662,0.074222,-0.835488,2168.004186,193.80596,12:30,6.01282,1.39725,6.79406,-12.64072,18.4254,4.27114,5.02719,0.99053,84.66263,-2.421058,-0.055875,0.401158,,,,,,,,,,,,-2.48421,9.98839,-1.34426,50,6.012,1.80675,-135.9291,-0.07941,-4.6068,32.25499,-13.65144,CAL_MUS,STA_CAR,BaggettStadium,TeamExclusive,Team,20231104-BaggettStadium-Private-1,66b0cf00-7b44-11ee-9162-df0992db74c2,93.95918,,,8.864,,,,,,,a42b93df-7b2b-4ae3-87cd-33f590378cf0,2023-11-04,19:00:25.50,2023-11-04T12:00:25.5078864-07:00,2023-11-04T19:00:25.5078864Z,,v3,471251,471454,,"Stafford, Ryan",701696,Right,CAL_MUS,b5e6b3d2-37fe-40ff-959a-0122d67ec3d6,53.70263,-136.80488,16.1275,6.00912,0.29125,-6.82572,-1.39501,1.93183,-2.3034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-11-04,12:00:41.22,1,3,"Turnquist, Carson",702493,Right,CAL_MUS,"Becerra, Temo",1000131899,Right,STA_CAR,Undefined,1,Top,0,1,1,Curveball,Curveball,FoulBall,Undefined,Undefined,Undefined,0,0,,77.42032,1.109965,-0.233492,2318.335391,38.927975,7:15,6.01894,1.31741,5.87876,-54.09924,-7.21489,-7.06315,2.54168,0.51196,70.86659,-8.816854,-1.503506,0.492817,,,,,,,,,,,,3.5741,-3.66949,-1.29431,50,6.07698,0.71296,-112.48136,0.47364,4.53948,22.04499,-36.8347,CAL_MUS,STA_CAR,BaggettStadium,TeamExclusive,Team,20231104-BaggettStadium-Private-1,701ff840-7b44-11ee-9162-df0992db74c2,76.48367,,,6.55373,,,,,,,a42b93df-7b2b-4ae3-87cd-33f590378cf0,2023-11-04,19:00:41.22,2023-11-04T12:00:41.2269008-07:00,2023-11-04T19:00:41.2269008Z,,v3,471251,471454,,"Stafford, Ryan",701696,Right,CAL_MUS,8aa26c61-6aba-4d70-a791-f533297466fe,54.62447,-113.38407,11.0225,6.0267,1.98198,-18.41735,-1.31969,0.52707,2.26974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
4,2023-11-04,12:00:59.86,1,4,"Turnquist, Carson",702493,Right,CAL_MUS,"Becerra, Temo",1000131899,Right,STA_CAR,Undefined,1,Top,0,1,2,FourSeamFastBall,Four-Seam,HitByPitch,Undefined,Undefined,Undefined,0,0,,93.25168,-0.721088,-0.338638,2135.668045,200.342472,12:45,6.05297,1.27204,6.75419,-11.85052,19.19686,6.75674,4.40669,1.52576,85.13128,-3.052827,0.893922,0.401037,,,,,,,,,,,,-3.67024,10.65729,-1.25213,50,6.00061,0.53836,-135.66877,-1.95736,-6.83157,30.04691,-12.33726,CAL_MUS,STA_CAR,BaggettStadium,TeamExclusive,Team,20231104-BaggettStadium-Private-1,7b2db650-7b44-11ee-9162-df0992db74c2,93.98753,,,8.1204,,,,,,,a42b93df-7b2b-4ae3-87cd-33f590378cf0,2023-11-04,19:00:59.86,2023-11-04T12:00:59.8610896-07:00,2023-11-04T19:00:59.8610896Z,,v3,471251,471454,,"Stafford, Ryan",701696,Right,CAL_MUS,7181f254-86c5-44c2-a15e-bee4bf8fe624,53.74615,-136.49592,15.02346,6.04982,-1.61773,-6.16863,-1.26954,0.72642,-3.41578,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
5,2023-11-04,12:01:43.07,2,1,"Turnquist, Carson",702493,Right,CAL_MUS,"Moore, Malcolm",1000069362,Left,STA_CAR,Undefined,1,Top,0,0,0,FourSeamFastBall,Four-Seam,StrikeCalled,Undefined,Undefined,Undefined,0,0,,93.88092,-3.892936,-2.550789,2099.201499,202.105982,12:45,5.95601,1.41082,6.76663,-12.87993,17.93958,6.87878,1.31847,-0.34698,85.84064,-6.393571,-1.297137,0.399562,,,,,,,,,,,,-4.47914,11.03335,-1.2469,50,5.6962,5.8213,-136.21923,-9.59557,-8.38627,30.91279,-11.51632,CAL_MUS,STA_CAR,BaggettStadium,TeamExclusive,Team,20231104-BaggettStadium-Private-1,94ef08f0-7b44-11ee-9162-df0992db74c2,94.33442,,,8.04028,,,,,,,a42b93df-7b2b-4ae3-87cd-33f590378cf0,2023-11-04,19:01:43.07,2023-11-04T12:01:43.0789584-07:00,2023-11-04T19:01:43.0789584Z,,v3,471251,471454,,"Stafford, Ryan",701696,Right,CAL_MUS,91fbfc5c-723e-448a-9d2d-a2ae4a11c242,53.73739,-137.06475,15.45639,5.95435,-9.28058,-5.75816,-1.40926,6.05067,-4.19313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-11-04,12:02:05.67,2,2,"Turnquist, Carson",702493,Right,CAL_MUS,"Moore, Malcolm",1000069362,Left,STA_CAR,Undefined,1,Top,0,0,1,Curveball,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,76.90055,2.005704,-0.799358,2226.741648,53.167098,7:45,6.07295,1.51799,5.90896,-53.31554,-6.22583,-10.1867,3.49265,-0.07292,70.84841,-7.776573,-2.629345,0.493895,,,,,,,,,,,,4.99575,-3.29756,-1.44802,50,6.20361,1.92927,-111.7634,2.23726,6.32714,19.89546,-36.35045,CAL_MUS,STA_CAR,BaggettStadium,TeamExclusive,Team,20231104-BaggettStadium-Private-1,a270ad30-7b44-11ee-9162-df0992db74c2,76.31677,,,6.05214,,,,,,,a42b93df-7b2b-4ae3-87cd-33f590378cf0,2023-11-04,19:02:05.67,2023-11-04T12:02:05.6704976-07:00,2023-11-04T19:02:05.6704976Z,,v3,471251,471454,,"Stafford, Ryan",701696,Right,CAL_MUS,cfd1e28b-6390-4c6a-ac05-00160be09e63,54.59441,-112.5783,9.94773,6.08148,3.72614,-18.17523,-1.52173,1.67011,3.16357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-11-04,12:02:26.18,2,3,"Turnquist, Carson",702493,Right,CAL_MUS,"Moore, Malcolm",1000069362,Left,STA_CAR,Undefined,1,Top,0,1,1,FourSeamFastBall,Four-Seam,FoulBall,Undefined,Undefined,Undefined,0,0,,93.85555,-4.299605,-1.237961,2133.695433,199.180772,12:45,6.00571,1.27321,6.63638,-9.89678,20.96643,6.9539,1.23629,0.71915,86.09465,-6.247347,0.027403,0.399845,56.67007,-28.296755,118.591794,,,,,4.03592,4.03592,28.5307,0.041087,-4.05173,12.59587,-1.19237,50,5.71032,2.67845,-136.202,-10.44993,-7.62326,29.46666,-8.47515,CAL_MUS,STA_CAR,BaggettStadium,TeamExclusive,Team,20231104-BaggettStadium-Private-1,aea0a420-7b44-11ee-9162-df0992db74c2,94.26754,1.62468,,7.7609,,,,,,,a42b93df-7b2b-4ae3-87cd-33f590378cf0,2023-11-04,19:02:26.18,2023-11-04T12:02:26.1871056-07:00,2023-11-04T19:02:26.1871056Z,GroundBall,v3,471251,471454,,"Stafford, Ryan",701696,Right,CAL_MUS,c64cbe8d-33e2-4dd9-ab7a-c5bf28728973,53.86638,-137.03591,14.73333,6.00266,-10.21008,-4.23758,-1.27123,2.8942,-3.81163,,4.99085,-35.15019,,,,,,,,1.62563,-39.54283,,,,,,,,-0.72362,64.49198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,Estimated,Estimated,,,
8,2023-11-04,12:03:03.00,2,4,"Turnquist, Carson",702493,Right,CAL_MUS,"Moore, Malcolm",1000069362,Left,STA_CAR,Undefined,1,Top,0,1,2,Curveball,Curveball,StrikeSwinging,Strikeout,Undefined,Undefined,0,0,,80.10704,-2.451631,-2.400763,2341.616824,20.001833,6:45,6.00695,1.45803,5.95453,-53.22495,-9.05524,-3.85095,-0.70553,-1.09069,73.45917,-12.128132,-3.095649,0.478337,,,,,,,,,,,,1.26185,-3.93311,-1.26473,50,5.7807,5.00087,-116.1759,-6.62497,1.69085,25.73078,-37.44436,CAL_MUS,STA_CAR,BaggettStadium,TeamExclusive,Team,20231104-BaggettStadium-Private-1,c493d7c0-7b44-11ee-9162-df0992db74c2,78.79897,,,6.64787,,,,,,,a42b93df-7b2b-4ae3-87cd-33f590378cf0,2023-11-04,19:03:03.00,2023-11-04T12:03:03.0043600-07:00,2023-11-04T19:03:03.0043600Z,,v3,471251,471454,,"Stafford, Ryan",701696,Right,CAL_MUS,fcf9b319-5169-4b6c-8392-490f3fa993ce,54.55114,-117.17956,12.86539,6.01063,-5.16441,-18.72218,-1.45851,4.93492,0.84543,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-11-04,12:03:38.62,3,1,"Turnquist, Carson",702493,Right,CAL_MUS,"Haskins, Trevor",1000016778,Right,STA_CAR,Undefined,1,Top,1,0,0,FourSeamFastBall,Four-Seam,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,93.88735,-3.055566,-2.648655,2315.064003,195.390265,12:30,5.94918,1.40973,6.96471,-12.40209,18.30214,4.75032,2.13015,-0.60583,85.32788,-5.493779,-1.779961,0.398814,,,,,,,,,,,,-3.32008,10.9778,-1.24709,50,5.7549,6.11902,-136.23232,-7.53157,-6.19176,32.06667,-11.70115,CAL_MUS,STA_CAR,BaggettStadium,TeamExclusive,Team,20231104-BaggettStadium-Private-1,d9d2fda0-7b44-11ee-9162-df0992db74c2,94.51133,,,8.55947,,,,,,,a42b93df-7b2b-4ae3-87cd-33f590378cf0,2023-11-04,19:03:38.62,2023-11-04T12:03:38.6275792-07:00,2023-11-04T19:03:38.6275792Z,,v3,471251,471454,,"Stafford, Ryan",701696,Right,CAL_MUS,2bdc4b23-86a8-47d9-937a-cf78b971c866,53.53447,-137.06175,16.03333,5.94579,-7.22891,-5.85057,-1.40743,6.27917,-3.09588,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-11-04,12:03:56.23,3,2,"Turnquist, Carson",702493,Right,CAL_MUS,"Haskins, Trevor",1000016778,Right,STA_CAR,Undefined,1,Top,1,0,1,FourSeamFastBall,Four-Seam,InPlay,Undefined,LineDrive,Triple,0,1,,93.3158,-3.599354,-2.297067,2252.181547,205.987023,12:45,5.97253,1.20008,6.80047,-12.7145,18.70981,8.57532,1.62106,-0.18286,84.49236,-6.095928,-0.732677,0.403463,104.44214,15.958303,4.327882,2342.784178,109.35487,27.7427,11.89487,321.71318,321.71318,10.905001,3.270385,-5.28083,11.38823,-1.05422,50,5.73395,5.09578,-135.30326,-8.79207,-9.6686,32.92217,-11.32342,CAL_MUS,STA_CAR,BaggettStadium,TeamExclusive,Team,20231104-BaggettStadium-Private-1,e4501470-7b44-11ee-9162-df0992db74c2,93.4222,34.91024,,8.82345,,,,1.90228,1.7026,0.16361,a42b93df-7b2b-4ae3-87cd-33f590378cf0,2023-11-04,19:03:56.23,2023-11-04T12:03:56.2396624-07:00,2023-11-04T19:03:56.2396624Z,LineDrive,v3,471251,471454,,"Stafford, Ryan",701696,Right,CAL_MUS,589bd59c-e8da-4a19-b02d-4086d7f6798a,53.69947,-136.20044,16.46108,5.96935,-8.48349,-5.66171,-1.19667,5.35927,-4.8343,208.780478,1.90215,146.86286,-28.56703,6.89712,-1.45525,0.25483,-0.0321,0.00226,-5E-05,1.70296,42.1023,-13.41786,-0.01718,-0.01757,0.07619,-0.03479,0.0069,-0.00052,0.16357,11.11565,3.7595,-0.73369,0.14772,-0.03513,0.0079,-0.00115,8E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
