PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence
1,2023-05-25,18:04:59.69,1,1,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Lew, Zach",1000029264,Right,CAL_FUL,Undefined,1,Top,0,0,0,Fastball,Sinker,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.73217,-2.334204,-4.184478,2115.814848,230.01641,1:45,6.12211,2.8378,5.65782,-21.28619,14.90367,16.28761,2.16436,0.28572,80.64931,-6.325802,-1.282701,0.432977,,,,,,,,,,,,-9.49465,8.61434,-2.4935,50,5.91058,8.68555,-128.38222,-5.93756,-15.75698,27.97749,-17.878,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230525-BaggettStadium-1,55ef50a0-fb61-11ed-a405-8113e407cb65,87.05409,,,8.08286,,,,,,,462f2af0-4876-450c-9fb1-206620867d80,2023-05-26,01:04:59.69,2023-05-25T18:04:59.6971750-07:00,2023-05-26T01:04:59.6971750Z,,v3,471251,471254,25 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,7e20a2a6-3df3-44bf-b4a4-a6b7b67c66d4,54.84215,-129.43314,13.98875,6.121,-5.26601,-8.939,-2.83087,9.27743,-7.87849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
2,2023-05-25,18:05:14.31,1,2,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Lew, Zach",1000029264,Right,CAL_FUL,Undefined,1,Top,0,0,1,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,88.57335,-3.202459,-3.246323,1810.001981,231.606257,1:45,6.12327,2.66594,5.76573,-20.5804,15.59859,18.10135,1.41977,1.14975,80.55969,-7.068983,-0.008543,0.432912,,,,,,,,,,,,-10.24922,9.28418,-2.40835,50,5.84521,6.51122,-128.22681,-7.83455,-16.94089,28.30432,-16.82824,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230525-BaggettStadium-1,5e7e04f0-fb61-11ed-a405-8113e407cb65,87.06723,,,8.01366,,,,,,,462f2af0-4876-450c-9fb1-206620867d80,2023-05-26,01:05:14.31,2023-05-25T18:05:14.3127270-07:00,2023-05-26T01:05:14.3127270Z,,v3,471251,471254,25 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,4b959cce-6758-4070-9565-a10d6635dcf4,54.73535,-129.26785,14.15216,6.12198,-7.2156,-8.41412,-2.65929,7.1343,-8.47045,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
3,2023-05-25,18:05:29.71,1,3,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Lew, Zach",1000029264,Right,CAL_FUL,Undefined,1,Top,0,0,2,Slider,Slider,FoulBall,Undefined,Undefined,Undefined,0,0,,82.18924,-0.478463,-3.68644,2329.010858,127.736047,10:15,5.79922,2.84637,5.82386,-36.0623,4.79225,-4.85666,2.34827,-0.99036,76.86238,-7.069053,-4.554135,0.460036,63.21069,73.097505,122.211224,5477.615969,,,,,9.25684,,,1.67063,2.86603,-2.54157,50,5.73825,7.87524,-119.40473,-2.17337,2.45618,19.03478,-27.96036,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230525-BaggettStadium-1,67b925e0-fb61-11ed-a405-8113e407cb65,81.93371,30.21058,,5.32686,,,,1.8306,2.41897,0.97148,462f2af0-4876-450c-9fb1-206620867d80,2023-05-26,01:05:29.71,2023-05-25T18:05:29.7152230-07:00,2023-05-26T01:05:29.7152230Z,,v3,471251,471254,25 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,f242305c-a57f-43d8-8d39-faddabedb0ca,54.67954,-120.1484,9.51739,5.80182,-1.08099,-13.98018,-2.84738,7.77928,1.22809,343.663748,1.83608,-14.5778,-4.33933,,,,,,,2.42766,88.37398,-27.05692,,,,,,,0.97455,22.68923,-4.3865,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Low,,,
4,2023-05-25,18:05:52.48,1,4,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Lew, Zach",1000029264,Right,CAL_FUL,Undefined,1,Top,0,0,2,Slider,Slider,InPlay,Undefined,FlyBall,HomeRun,0,1,,80.97868,-0.637106,-2.7475,2408.262956,105.78728,9:30,5.71974,2.83559,5.44527,-40.30384,2.61221,-5.05662,1.76385,-0.16027,75.31886,-7.955442,-3.646801,0.4715,98.4923,25.288652,-13.255024,3074.624752,107.08071,48.72891,-25.1729,407.75845,396.98277,-13.290495,4.84947,1.89437,1.79878,-2.58894,50,5.63519,5.84163,-117.61613,-2.69078,2.68269,20.01654,-29.62673,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230525-BaggettStadium-1,754be120-fb61-11ed-a405-8113e407cb65,79.94162,73.04148,,5.65982,,,,1.75531,1.87951,0.1206,462f2af0-4876-450c-9fb1-206620867d80,2023-05-26,01:05:52.48,2023-05-25T18:05:52.4870374-07:00,2023-05-26T01:05:52.4870374Z,FlyBall,v3,471251,471254,25 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,8f1c2775-04ac-4171-a0af-33d63e8778bc,55.05778,-118.47376,10.00827,5.72329,-1.42139,-14.81336,-2.83677,5.72669,1.34135,176.271563,1.75729,127.09083,-22.38555,5.42131,-0.99424,0.1322,-0.01347,0.00127,-8E-05,1.87884,61.71702,-13.03248,-0.75833,0.52768,-0.19689,0.04903,-0.00667,0.00036,0.12019,-29.93963,4.37146,-0.75782,0.07818,-0.00078,-0.00023,-0.00013,2E-05,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,High,,,
5,2023-05-25,18:06:43.00,2,1,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Connor, Caden",1000029262,Left,CAL_FUL,Undefined,1,Top,0,0,0,Fastball,Four-Seam,BallCalled,Undefined,Undefined,Undefined,0,0,,89.50874,-2.381013,-2.493036,2102.908446,215.721389,1:15,6.03095,2.71732,5.75426,-18.6656,16.93477,11.24619,2.25559,1.33224,80.79374,-5.925004,-0.481323,0.429436,,,,,,,,,,,,-6.48721,9.7404,-2.51716,50,5.82195,5.14656,-129.60437,-5.96097,-10.88452,30.51431,-15.8312,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230525-BaggettStadium-1,936b5dc0-fb61-11ed-a405-8113e407cb65,87.77192,,,8.715,,,,,,,462f2af0-4876-450c-9fb1-206620867d80,2023-05-26,01:06:43.00,2023-05-25T18:06:43.0036710-07:00,2023-05-26T01:06:43.0036710Z,,v3,471251,471254,25 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,88905b11-6f88-4e65-b459-997ed6955608,54.74319,-130.71635,15.25716,6.02866,-5.38407,-7.9156,-2.71193,5.5432,-5.44226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
6,2023-05-25,18:06:58.65,2,2,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Connor, Caden",1000029262,Left,CAL_FUL,Undefined,1,Top,0,1,0,ChangeUp,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,81.0681,-2.050678,-4.034387,2031.403943,224.279712,1:30,6.19816,2.52267,5.77715,-26.75824,16.58981,14.65776,2.05456,-0.01612,73.47975,-7.070065,-1.416347,0.473867,,,,,,,,,,,,-8.72941,9.54339,-2.19802,50,6.01242,7.69907,-117.28559,-4.99619,-12.02587,24.45791,-19.02684,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230525-BaggettStadium-1,9cb7bcc0-fb61-11ed-a405-8113e407cb65,79.5423,,,7.58835,,,,,,,462f2af0-4876-450c-9fb1-206620867d80,2023-05-26,01:06:58.65,2023-05-25T18:06:58.6561766-07:00,2023-05-26T01:06:58.6561766Z,,v3,471251,471254,25 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,cd22d1fb-508f-4b43-9883-3d64a2d96184,54.72182,-118.26615,12.22896,6.19744,-4.23338,-9.51342,-2.51635,8.1812,-6.01293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
7,2023-05-25,18:07:13.80,2,3,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Connor, Caden",1000029262,Left,CAL_FUL,Undefined,1,Top,0,1,1,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,81.34252,-1.889741,-2.445018,1999.938136,236.018402,1:45,6.08398,2.727,5.6036,-29.20446,14.28331,18.76741,1.88388,2.00703,73.36653,-7.342961,0.906062,0.47463,,,,,,,,,,,,-10.253,8.32371,-2.52981,50,5.90354,4.25952,-117.75774,-4.79576,-14.14425,26.02213,-20.69133,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230525-BaggettStadium-1,a5c60150-fb61-11ed-a405-8113e407cb65,79.41439,,,7.97598,,,,,,,462f2af0-4876-450c-9fb1-206620867d80,2023-05-26,01:07:13.80,2023-05-25T18:07:13.8051302-07:00,2023-05-26T01:07:13.8051302Z,,v3,471251,471254,25 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,69906a99-7ce0-40e0-a50c-f5fad07bfae9,54.89388,-118.83427,13.01106,6.08423,-3.93976,-10.34566,-2.71813,4.84467,-7.07212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
8,2023-05-25,18:07:31.54,2,4,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Connor, Caden",1000029262,Left,CAL_FUL,Undefined,1,Top,0,2,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,81.16341,-1.660903,-3.425085,2257.066249,97.710333,9:15,5.85396,2.65115,5.60981,-40.60002,2.105,-6.53079,0.91707,-1.09399,75.42663,-9.030252,-4.589304,0.470339,,,,,,,,,,,,2.47752,1.78012,-2.35346,50,5.68488,7.29319,-117.76538,-4.77076,3.50043,21.09357,-29.65895,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230525-BaggettStadium-1,b05c1e60-fb61-11ed-a405-8113e407cb65,80.13892,,,5.73678,,,,,,,462f2af0-4876-450c-9fb1-206620867d80,2023-05-26,01:07:31.54,2023-05-25T18:07:31.5498214-07:00,2023-05-26T01:07:31.5498214Z,,v3,471251,471254,25 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,b9f7f12a-1501-4feb-a461-ef06e6be3236,54.89402,-118.63874,10.54678,5.85698,-3.54277,-14.82947,-2.65242,7.14825,1.75021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
9,2023-05-25,18:07:48.74,2,5,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Connor, Caden",1000029262,Left,CAL_FUL,Undefined,1,Top,0,3,1,Fastball,Four-Seam,BallCalled,Walk,Undefined,Undefined,0,0,,89.80741,-2.458541,-5.071206,2211.45171,214.700459,1:15,5.97699,2.72401,5.71366,-16.29973,19.57273,12.58005,2.31784,-0.96448,80.33809,-5.59798,-2.834345,0.431074,,,,,,,,,,,,-8.04658,11.13579,-2.30623,50,5.76053,10.92676,-129.53142,-6.0375,-13.39482,32.15344,-13.6367,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230525-BaggettStadium-1,ba9108a0-fb61-11ed-a405-8113e407cb65,87.43841,,,9.46933,,,,,,,462f2af0-4876-450c-9fb1-206620867d80,2023-05-26,01:07:48.74,2023-05-25T18:07:48.7464166-07:00,2023-05-26T01:07:48.7464166Z,,v3,471251,471254,25 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,b88f8e1d-bdc5-479c-a7cd-590a1f4742b2,54.78227,-130.71313,16.07672,5.97321,-5.53632,-6.81835,-2.71686,11.41905,-6.69741,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
10,2023-05-25,18:08:22.87,3,1,"Warrecker, Bryce",1000093904,Right,CAL_MUS,"Nankil, Nate",1000048756,Right,CAL_FUL,Undefined,1,Top,0,0,0,Fastball,Changeup,StrikeCalled,Undefined,Undefined,Undefined,0,0,,87.90534,-1.913047,-4.267387,1810.819595,258.258853,2:30,6.0855,2.64802,5.83091,-31.5958,5.28721,19.02107,1.66859,0.25889,79.55427,-7.765251,-0.863407,0.437104,,,,,,,,,,,,-11.11485,3.68221,-2.31053,50,5.91026,8.69408,-127.18469,-5.34523,-17.94853,29.52626,-26.22792,CAL_MUS,CAL_FUL,BaggettStadium,D1,BW,20230525-BaggettStadium-1,cee950f0-fb61-11ed-a405-8113e407cb65,86.23224,,,8.35106,,,,,,,462f2af0-4876-450c-9fb1-206620867d80,2023-05-26,01:08:22.87,2023-05-25T18:08:22.8796646-07:00,2023-05-26T01:08:22.8796646Z,,v3,471251,471254,25 May 2023 21:00-calstfull@calpoly,"Stafford, Ryan",1000070790,Right,CAL_MUS,8818844c-db32-4814-b22e-ba6dfbf6620d,54.66988,-128.26423,14.76313,6.08816,-4.38628,-13.11396,-2.6404,9.35032,-8.97427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,
